ELEMENT_ID,GRAND_GROUPE,Nom_francais,Autres_noms_francais,Nom_anglais,Autres_noms_anglais,Nom_scientifique,Anciens_noms_scientifiques,Commentaires,Origine,Regularite,Degre_de_certitude,Statuts_des_populations,CLASSE,ORDRE,FAMILLE,GENRE,ESPECE,SOUS_ESPECE_POP,Rang_S,STATUT_LEMV,COMPETENCE_PRINCIPALE
13,Amphibiens,Rainette faux-grillon de l'Ouest,"rainette faux-grillon de l'Ouest, pop. Des Grands-Lac / Saint-Laurent et Bouclier canadien; rainette faux-grillon; rainette faux-criquet",Western Chorus Frog,Western Chorus Frog - Great Lakes - St. Lawrence - Canadian Shield Population; Swamp Cricket Frog; Striped Chorus Frog; Pickering Frog,Pseudacris triseriata,,"Avant les années 1990, il était convenu que quatre sous-espèces de rainettes faux-grillon de l’Ouest existaient: P. triseriata triseriata, P. triseriata maculata, P. triseriata feriarum et P. triseriata kalmi. Les entités taxinomiques ont été par la suite élevées au rang d’espèce (P. triseriata, P. maculata, P. feriarum. P. kalmi) plutôt que de sous-espèce. Des analyses génétiques récentes indiquent que l’ADN mitochondrial de rainettes faux-grillon qui vivent dans le sud du Québec correspondrait à celui de la rainette faux-grillon boréale (Pseudacris maculata) et non de la rainette faux-grillon de l’Ouest (Pseudacris triseriata). De nouvelles analyses génétiques sont en cours pour confirmer les résultats.",Indigène,Régulier,Confirmé,Toute l'année,Amphibia,Anura,Hylidae,Pseudacris,triseriata,,S2,Menacée,Québec
14,Amphibiens,Rainette crucifère,,Spring Peeper,Spring Peeper,Pseudacris crucifer,,,Indigène,Régulier,Confirmé,Toute l'année,Amphibia,Anura,Hylidae,Pseudacris,crucifer,,S5,Non suivie,Québec
15,Amphibiens,Rainette faux-grillon boréale,"rainette faux-grillon boréale, pop. du Saint-Laurent; rainette faux-grillon boréale, pop. de la Baie James",Boreal Chorus Frog,Boreal Chorus Frog - Baie James Population; Swamp Cricket Frog; Striped Chorus Frog; Pickering Frog,Pseudacris maculata,,,Indigène,Régulier,Confirmé,Toute l'année,Amphibia,Anura,Hylidae,Pseudacris,maculata,,S2,Susceptible,Québec
16,Amphibiens,Ouaouaron,oua-oua-ron; grenouille-taureau; grenouille mugissante,American Bullfrog,Wawaron; Bull-frog; Wonwarron,Lithobates catesbeianus,Lithobates catesbeiana; Rana catesbeiana; Rana catesbeianus,,Indigène,Régulier,Confirmé,Toute l'année,Amphibia,Anura,Ranidae,Lithobates,catesbeianus,,S5,Non suivie,Québec
17,Amphibiens,Grenouille verte,,Green Frog,Bronze Frog; Pond Frog; Screaming Frog,Lithobates clamitans,,,Indigène,Régulier,Confirmé,Toute l'année,Amphibia,Anura,Ranidae,Lithobates,clamitans,,S5,Non suivie,Québec
18,Amphibiens,Grenouille des marais,grenouille halécine,Pickerel Frog,Poison Frog; Tiger Frog ; Marsh frog; Shad Frog; Leopard Frog,Lithobates palustris,Rana palustris,,Indigène,Régulier,Confirmé,Toute l'année,Amphibia,Anura,Ranidae,Lithobates,palustris,,S4,Susceptible,Québec
19,Amphibiens,Grenouille léopard,grenouille léopard du Nord; grenouille mugissante; wawaron,Northern Leopard Frog,Bull-frog; Leopard Frog; Meadow Frog; Grassfrog,Lithobates pipiens,,"Le nom français ""grenouille léopard"" et le nom anglais ""Leopard frog"" ne sont pas assez précis pour désigner l'espèce, car ils sont associés à d'autres espèces du genre Lithobates.",Indigène,Régulier,Confirmé,Toute l'année,Amphibia,Anura,Ranidae,Lithobates,pipiens,,S5,Non suivie,Québec
20,Amphibiens,Grenouille du Nord,,Mink Frog,Northern Frog,Lithobates septentrionalis,,,Indigène,Régulier,Confirmé,Toute l'année,Amphibia,Anura,Ranidae,Lithobates,septentrionalis,,S5,Non suivie,Québec
21,Amphibiens,Grenouille des bois,,Wood Frog,,Lithobates sylvaticus,Lithobates sylvatica; Rana sylvatica,,Indigène,Régulier,Confirmé,Toute l'année,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,,S5,Non suivie,Québec
22,Oiseaux,Plongeon catmarin,huard à gorge rousse; plongeon à gorge rousse; cou-rouge,Red-throated Loon,Huard Capderace; Cape Drake; Cape Racer; Carbreast,Gavia stellata,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Gaviiformes,Gaviidae,Gavia,stellata,,S4B,Non suivie,Environnement et Changement climatique Canada
23,Oiseaux,Plongeon huard,huart à collier; plongeon imbrin; plongeon glacial; huard à collier imbrin,Common Loon,Great Diver; Riche-poom,Gavia immer,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Gaviiformes,Gaviidae,Gavia,immer,,S5B,Non suivie,Environnement et Changement climatique Canada
25,Oiseaux,Plongeon du Pacifique,huart du pacifique; huart pacifique,Pacific Loon,Pacific Diver,Gavia pacifica,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Gaviiformes,Gaviidae,Gavia,pacifica,,S3B,Non suivie,Environnement et Changement climatique Canada
26,Oiseaux,Grèbe à bec bigarré,grèbe à bec cerclé; grèbe à gros bec; plongeon; grand plongeon,Pied-billed Grebe,Diving Dapper; Carolina Grebe; Chicken-billed Grebe; Dab Chuck,Podilymbus podiceps,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Podicipediformes,Podicipedidae,Podilymbus,podiceps,,S4B,Non suivie,Environnement et Changement climatique Canada
27,Oiseaux,Grèbe esclavon,"grèbe esclavon, pop. des îles de la Madeleine; grèbe cornu; grèbe oreillard; grèbe de l'esclavonie",Horned Grebe,Slavonian Grebe; Pink-eyed Diver; Dusky Grebe; Little White Diver,Podiceps auritus,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Podicipediformes,Podicipedidae,Podiceps,auritus,,S1B,Menacée,Environnement et Changement climatique Canada
28,Oiseaux,Grèbe jougris,grèbe à joues grises; jougris; grèbe à cou rouge,Red-necked Grebe,Hell-Diver; Laughing Hell-diver; Red-eyes; Water-hen,Podiceps grisegena,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Podicipediformes,Podicipedidae,Podiceps,grisegena,,S2S3B,Retirée,Environnement et Changement climatique Canada
29,Oiseaux,Grèbe à cou noir,grèbe oreillard; grèbe à cou noir de Caroline,Eared Grebe,California Grebe; Black-necked Grebe; Hell-diver; Little Water-hen,Podiceps nigricollis,,Présence de l'espèce plutôt imprévisible; elle peut ne pas être observée pendant de longues périodes.,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Podicipediformes,Podicipedidae,Podiceps,nigricollis,,SNA,Non suivie,Environnement et Changement climatique Canada
30,Oiseaux,Grèbe élégant,grèbe de l'Ouest; grèbe occidental; grand grèbe américain; grèbe de l'Ouest américain,Western Grebe,Hell-diver; Clark Grebe; Swan-necked Grebe; Swan Grebe,Aechmophorus occidentalis,,Présence de l'espèce plutôt imprévisible; elle peut ne pas être observée pendant de longues périodes.,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis,,SNA,Non suivie,Environnement et Changement climatique Canada
31,Oiseaux,Albatros à nez jaune,albatros à bec jaune,Yellow-nosed Albatross,Yellow-nosed Albatros,Thalassarche chlororhynchos,Diomedea chlororhynchos,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Procellariiformes,Diomedeidae,Thalassarche,chlororhynchos,,SNA,Non suivie,Environnement et Changement climatique Canada
32,Oiseaux,Fulmar boréal,pétrel fulmar; pétrel glacial; fulmar glacial; fulmar pétrel,Northern Fulmar,Atlantic Fulmar; Fulmar Petrel; Hagdon; Mallemoke,Fulmarus glacialis,,,Indigène,Régulier,Confirmé,Non reproducteur,Aves,Procellariiformes,Procellariidae,Fulmarus,glacialis,,S4N,Non suivie,Environnement et Changement climatique Canada
34,Oiseaux,Puffin majeur,grand puffin; puffin à face blanche,Greater Shearwater,Great Shearwater; Bank; Grey Bag; Haglet,Ardenna gravis,,,Indigène,Régulier,Confirmé,Non reproducteur,Aves,Procellariiformes,Procellariidae,Ardenna,gravis,,S4N,Non suivie,Environnement et Changement climatique Canada
35,Oiseaux,Puffin fuligineux,puffin gris,Sooty Shearwater,Black Shearwater; Mutton Bird; Black Bauk; Black Haddown,Ardenna grisea,,,Indigène,Régulier,Confirmé,Non reproducteur,Aves,Procellariiformes,Procellariidae,Ardenna,grisea,,S4N,Non suivie,Environnement et Changement climatique Canada
36,Oiseaux,Puffin des Anglais,puffin Manx; puffin de Manks; puffin de l'île de Man; puffin de Pennant,Manx Shearwater,,Puffinus puffinus,,,Indigène,Régulier,Confirmé,Non reproducteur,Aves,Procellariiformes,Procellariidae,Puffinus,puffinus,,S4N,Non suivie,Environnement et Changement climatique Canada
37,Oiseaux,Océanite de Wilson,pétrel océanite; pétrel océanique; pétrel-tempète de Wilson; thalassidrome de Wilson,Wilson's Storm-petrel,Stormy Petrel; Long-legged Petrel; White-rumped Petrel; Carey Chicken,Oceanites oceanicus,,,Indigène,Régulier,Confirmé,Non reproducteur,Aves,Procellariiformes,Oceanitidae,Oceanites,oceanicus,,S4N,Non suivie,Environnement et Changement climatique Canada
39,Oiseaux,Fou de Bassan,margaulx; oie des Sorlingues; oie d'Ouessant; grand guillou,Northern Gannet,Sulaire; Gaunt; Gander; Fool,Morus bassanus,Sula bassanus,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Suliformes,Sulidae,Morus,bassanus,,S4B,Non suivie,Environnement et Changement climatique Canada
40,Oiseaux,Pélican d'Amérique,pélican blanc d'Amérique; pélican à bec rouge,American White Pelican,White Pelican,Pelecanus erythrorhynchos,,,Indigène,Régulier,Confirmé,Non reproducteur,Aves,Pelecaniformes,Pelecanidae,Pelecanus,erythrorhynchos,,S3N,Non suivie,Québec
41,Oiseaux,Pélican brun,,Brown Pelican,,Pelecanus occidentalis,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Pelecaniformes,Pelecanidae,Pelecanus,occidentalis,,SNA,Non suivie,Québec
42,Oiseaux,Grand cormoran,cormoran européen; cormoran d'Europe; cormoran commun; cormoran noir,Great Cormorant,Sgarbh; Black Cormorant; Cormorant; Crow-duck,Phalacrocorax carbo,,,Indigène,Régulier,Confirmé,Toute l'année,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,carbo,,S3S4,Non suivie,Québec
43,Oiseaux,Cormoran à aigrettes,cormoran à double crête; cormoran à oreilles; cormoran oreillard; cormoran huppé,Double-crested Cormorant,Sgarbh; Common Cormorant; Florida Cormorant; White-crested Cormorant,Phalacrocorax auritus,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,auritus,,S5B,Non suivie,Québec
44,Oiseaux,Frégate superbe,frégate marine; frégate magnifique; aigle des mers; frégate-aigle,Magnificent Frigatebird,Man-of-war Bird; Cobbler; Hurricane Bird; Scissor-tail,Fregata magnificens,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Suliformes,Fregatidae,Fregata,magnificens,,SNA,Non suivie,Québec
45,Oiseaux,Butor d'Amérique,butor américain; butor d'Amérique du Nord; butor nord-américain; oiseau pompe-à-eau,American Bittern,Bill-grudgeon; Bot-trotter; Butter-pump; Comptah,Botaurus lentiginosus,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Pelecaniformes,Ardeidae,Botaurus,lentiginosus,,S4B,Non suivie,Environnement et Changement climatique Canada
46,Oiseaux,Petit blongios,petit butor; blongios; blongios minute; blongios d'Amérique,Least Bittern,Bittlin; Gaulin; Minute Bittern; Eastern Least Bittern,Ixobrychus exilis,Botaurus exilis,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Pelecaniformes,Ardeidae,Ixobrychus,exilis,,S2B,Vulnérable,Environnement et Changement climatique Canada
47,Oiseaux,Grand héron,grand héron bleu; héron bleu; butor; couac,Great Blue Heron,Blue Crane; Common Crane; Crane; Hern,Ardea herodias,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Pelecaniformes,Ardeidae,Ardea,herodias,,S5B,Non suivie,Environnement et Changement climatique Canada
48,Oiseaux,Grande aigrette,grand héron blanc; héron blanc; aigrette blanche; crabier blanc,Great Egret,Common Egret; American Egret; Great White Heron; Great White Egret,Ardea alba,Casmerodius albus,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Pelecaniformes,Ardeidae,Ardea,alba,,S3B,Non suivie,Environnement et Changement climatique Canada
49,Oiseaux,Aigrette garzette,petite aigrette; garzette; aigrette garzette d'Europe; petit héron blanc,Little Egret,,Egretta garzetta,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Pelecaniformes,Ardeidae,Egretta,garzetta,,SNA,Non suivie,Environnement et Changement climatique Canada
50,Oiseaux,Aigrette neigeuse,aigrette neige; aigrette américaine; garzette américaine; aigrette garzette américaine,Snowy Egret,Snowy Heron; White Gaulin; Brewster's Egret; Cross Egret,Egretta thula,,,Indigène,Régulier,Confirmé,Migrateur,Aves,Pelecaniformes,Ardeidae,Egretta,thula,,SNA,Non suivie,Environnement et Changement climatique Canada
51,Oiseaux,Aigrette bleue,petit héron bleu; petit héron bleu de Floride; aigrette; crabier bleu,Little Blue Heron,Blue Gaulin; Blue Heron; White Gaulin,Egretta caerulea,,,Indigène,Régulier,Confirmé,Migrateur,Aves,Pelecaniformes,Ardeidae,Egretta,caerulea,,SNA,Non suivie,Environnement et Changement climatique Canada
52,Oiseaux,Aigrette tricolore,aigrette à ventre blanc; héron tricolore; héron de la Louisianne; crabier,Tricolored Heron,Tricoloured Heron; Louisiana Heron; Gaulin; Switching-neck,Egretta tricolor,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Pelecaniformes,Ardeidae,Egretta,tricolor,,SNA,Non suivie,Environnement et Changement climatique Canada
53,Oiseaux,Héron garde-boeufs,garde-bœufs; crabier garde-bœuf; garde-boeuf ibis; héron Vérany,Cattle Egret,Buff-backed Heron; Cattle Gaulin,Ardea ibis,Bubulcus ibis,,Indigène,Régulier,Confirmé,Migrateur,Aves,Pelecaniformes,Ardeidae,Ardea,ibis,,SNA,Non suivie,Environnement et Changement climatique Canada
54,Oiseaux,Héron vert,héron à dos vert; blongios vert; crabier vert; valet de Caïman,Green Heron,Green-backed Heron; Little Heron; Little Gaulin; Lees Pond Gaulin,Butorides virescens,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Pelecaniformes,Ardeidae,Butorides,virescens,,S3S4B,Non suivie,Environnement et Changement climatique Canada
55,Oiseaux,Bihoreau gris,bihoreau à couroronne noire; héron bihoreau; bihoreau; bihoreau couronné noir,Black-crowned Night Heron,,Nycticorax nycticorax,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Pelecaniformes,Ardeidae,Nycticorax,nycticorax,,S3S4B,Non suivie,Environnement et Changement climatique Canada
56,Oiseaux,Bihoreau violacé,bihoreau à tête jaune; bihoreau à calotte jaune; crabier gris; crabier de bois,Yellow-crowned Night Heron,,Nyctanassa violacea,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Pelecaniformes,Ardeidae,Nyctanassa,violacea,,SNA,Non suivie,Environnement et Changement climatique Canada
57,Oiseaux,Ibis blanc,gant blanc,White Ibis,American White Ibis; Spanish Curlew; Stone Curlew; White Curlew,Eudocimus albus,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Pelecaniformes,Threskiornithidae,Eudocimus,albus,,SNA,Non suivie,Environnement et Changement climatique Canada
58,Oiseaux,Ibis falcinelle,ibis luisant; falcinelle éclatant; falcinelle; pêcheur,Glossy Ibis,Black Curlew; Common Glossy; Bronze Curlew; Eastern Glossy Ibis,Plegadis falcinellus,,,Indigène,Régulier,Confirmé,Migrateur,Aves,Pelecaniformes,Threskiornithidae,Plegadis,falcinellus,,SNA,Non suivie,Environnement et Changement climatique Canada
60,Oiseaux,Dendrocygne fauve,dendrocygne bicolore; vigeon rouge; canard fauve; milouin bicolore,Fulvous Whistling-duck,Fulvous Tree Duck; Fulvous Duck; Cornfield Duck; Mexican Wood-duck,Dendrocygna bicolor,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Anseriformes,Anatidae,Dendrocygna,bicolor,,SNA,Non suivie,Environnement et Changement climatique Canada
61,Oiseaux,Dendrocygne à ventre noir,,Black-bellied Whistling-duck,,Dendrocygna autumnalis,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Anseriformes,Anatidae,Dendrocygna,autumnalis,,SNA,Non suivie,Environnement et Changement climatique Canada
62,Oiseaux,Cygne siffleur,cygne de Bewick; cygne de Colombie; cygne chanteur; cygne américain,Tundra Swan,Bewick's Swan; Whistling Swan; Big Whistler; White Swan,Cygnus columbianus,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Anseriformes,Anatidae,Cygnus,columbianus,,S4B,Non suivie,Environnement et Changement climatique Canada
64,Oiseaux,Cygne trompette,,Trumpeter Swan,White Swan; Wild Swan,Cygnus buccinator,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Anseriformes,Anatidae,Cygnus,buccinator,,S3B,Non suivie,Environnement et Changement climatique Canada
65,Oiseaux,Cygne tuberculé,cygne muet; cygne domestique,Mute Swan,,Cygnus olor,,,Exotique,Régulier,Confirmé,Reproducteur,Aves,Anseriformes,Anatidae,Cygnus,olor,,SNA,Non suivie,Environnement et Changement climatique Canada
67,Oiseaux,Oie à bec court,petite oie des moissons,Pink-footed Goose,,Anser brachyrhynchus,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Anseriformes,Anatidae,Anser,brachyrhynchus,,SNA,Non suivie,Environnement et Changement climatique Canada
68,Oiseaux,Oie rieuse,,Greater White-fronted Goose,,Anser albifrons,,,Indigène,Régulier,Confirmé,Migrateur,Aves,Anseriformes,Anatidae,Anser,albifrons,,S3M,Non suivie,Environnement et Changement climatique Canada
69,Oiseaux,Oie des neiges,grande oie blanche; grande oie des neiges; oie blanche; petite oie des neiges,Snow Goose,,Anser caerulescens,Chen caerulescens,,Indigène,Régulier,Confirmé,Migrateur,Aves,Anseriformes,Anatidae,Anser,caerulescens,,S5M,Non suivie,Environnement et Changement climatique Canada
70,Oiseaux,Oie de Ross,,Ross's Goose,,Anser rossii,Chen rossii,,Indigène,Régulier,Confirmé,Migrateur,Aves,Anseriformes,Anatidae,Anser,rossii,,S3M,Non suivie,Environnement et Changement climatique Canada
72,Oiseaux,Bernache cravant,bernache; cravant; belon; barneche,Brant,Brant Goose; Atlantic Brant; Chickeny Goose; Common Brant,Branta bernicla,,,Indigène,Régulier,Confirmé,Migrateur,Aves,Anseriformes,Anatidae,Branta,bernicla,,S3M,Non suivie,Environnement et Changement climatique Canada
73,Oiseaux,Bernache nonnette,bernache; oie bernache; nonnette,Barnacle Goose,,Branta leucopsis,,,Indigène,Régulier,Confirmé,Migrateur,Aves,Anseriformes,Anatidae,Branta,leucopsis,,SNA,Non suivie,Environnement et Changement climatique Canada
74,Oiseaux,Bernache du Canada,bernache Canada; bernache canadienne; oie du Canada; cygnopsis canadien,Canada Goose,Gander; Honker; Atlantic Canada Goose; Common Canada Goose,Branta canadensis,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Anseriformes,Anatidae,Branta,canadensis,,S5B,Non suivie,Environnement et Changement climatique Canada
75,Oiseaux,Canard branchu,canard carolin; aix carolin; aix de la Caroline; canard brancheur,Wood Duck,North American Wood Duck; Carolina Duck,Aix sponsa,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Anseriformes,Anatidae,Aix,sponsa,,S5B,Non suivie,Environnement et Changement climatique Canada
76,Oiseaux,Sarcelle d'hiver,sarcelle à ailes vertes; sarcelle sarcelline; petite sarcelle; biganon,Green-winged Teal,Europeen Teal; Eurasian Green-winged Teal,Anas crecca,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Anseriformes,Anatidae,Anas,crecca,,S5B,Non suivie,Environnement et Changement climatique Canada
77,Oiseaux,Canard noir,canard noirâtre; canard noirâtre américain; canard obscur; canard brun,American Black Duck,North American Black Duck; Mottled Duck; Dusky Duck; Summer Black Mallard,Anas rubripes,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Anseriformes,Anatidae,Anas,rubripes,,S4S5B,Non suivie,Environnement et Changement climatique Canada
78,Oiseaux,Canard colvert,canard mallard; canard domestique; maraîche; tête verte,Mallard,,Anas platyrhynchos,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Anseriformes,Anatidae,Anas,platyrhynchos,,S5B,Non suivie,Environnement et Changement climatique Canada
80,Oiseaux,Canard pilet,pilet spinicaude; pilet acuticaude; pilet à queue pointue; pilet à longue queue,Northern Pintail,Common Pintail; Pin-tailed Duck; Sharp-tailed Duck,Anas acuta,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Anseriformes,Anatidae,Anas,acuta,,S4B,Non suivie,Environnement et Changement climatique Canada
81,Oiseaux,Sarcelle d'été,sarcelle commune; sarcelle de mars; canard criquart,Garganey,Garganey Teal,Spatula querquedula,Anas querquedula,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Anseriformes,Anatidae,Spatula,querquedula,,SNA,Non suivie,Environnement et Changement climatique Canada
82,Oiseaux,Sarcelle à ailes bleues,sarcelle soucrourou; sarcelle aux ailes bleues; sarcelle américaine; sarcelle soucrouette,Blue-winged Teal,White-faced Teal; Teal; Blue Teal,Spatula discors,Anas discors,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Anseriformes,Anatidae,Spatula,discors,,S3S4B,Non suivie,Environnement et Changement climatique Canada
83,Oiseaux,Sarcelle cannelle,sarcelle cinamome; sarcelle à ailes bleues; sarcelle rousse,Cinnamon Teal,Bluewing; Blue-winged Teal; Red-breasted Teal; River Teal,Spatula cyanoptera,Anas cyanoptera,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Anseriformes,Anatidae,Spatula,cyanoptera,,SNA,Non suivie,Environnement et Changement climatique Canada
84,Oiseaux,Canard souchet,,Northern Shoveler,,Spatula clypeata,Anas clypeata,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Anseriformes,Anatidae,Spatula,clypeata,,S4B,Non suivie,Environnement et Changement climatique Canada
85,Oiseaux,Canard chipeau,,Gadwall,,Mareca strepera,Anas strepera,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Anseriformes,Anatidae,Mareca,strepera,,S5B,Non suivie,Environnement et Changement climatique Canada
86,Oiseaux,Canard siffleur,canard siffleur d'Europe,Eurasian Wigeon,,Mareca penelope,Anas penelope,,Indigène,Régulier,Confirmé,Migrateur,Aves,Anseriformes,Anatidae,Mareca,penelope,,S3M,Non suivie,Environnement et Changement climatique Canada
87,Oiseaux,Canard d'Amérique,canard siffleur d'Amérique,American Wigeon,,Mareca americana,Anas americana,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Anseriformes,Anatidae,Mareca,americana,,S4S5B,Non suivie,Environnement et Changement climatique Canada
88,Oiseaux,Tadorne de Belon,,Common Shelduck,,Tadorna tadorna,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Anseriformes,Anatidae,Tadorna,tadorna,,SNA,Non suivie,Environnement et Changement climatique Canada
